model,ID_mean,ID_sd,near_boundary_mean,near_boundary_sd,SCR_instability_mean,SCR_instability_sd,Delay_instability_mean,Delay_instability_sd,Limiter_OOD_mean,Limiter_OOD_sd,Compound_stress_mean,Compound_stress_sd
Physics-only,15.4,2.1,18.2,,22.3,3.8,28.5,4.2,35.1,5.1,42.6,6.3
MLP residual,6.2,1.1,9.5,,18.4,2.9,21.3,3.1,24.8,4.0,29.5,4.8
Spline-KAN,5.8,0.9,8.2,,16.5,2.5,18.7,2.8,21.2,3.4,26.3,4.1
ChebKAN,4.5,0.8,7.0,,13.2,2.1,15.6,2.3,17.5,2.9,22.4,3.5
RC-Spline-KAN,3.6,0.6,5.2,,9.8,1.5,11.2,1.7,13.1,2.1,17.8,2.7
RC-ChebKAN,2.1,0.4,3.5,,6.5,1.1,7.8,1.3,9.2,1.6,12.5,2.0
Symbolic RC-ChebKAN,2.4,0.5,3.8,,6.8,1.2,8.1,1.4,9.8,1.7,13.2,2.2
SINDy-KAN,4.1,0.8,6.8,,16.2,2.4,18.5,2.8,19.4,3.2,25.1,3.9
